product_id,name,price,description,specifications,category,brand,image,rating,battery_life,windows_free,weight_kg,ram_gb,ssd_gb,display_size,processor_type
MBA-M4-13-2025,MacBook Air 13-inch (M4),51659,"A sleek, lightweight laptop perfect for students and professionals, offering exceptional performance with the new M4 chip and long battery life.","Apple M4 chip, 8GB/16GB RAM, 256GB/512GB SSD, 13.6-inch Retina Display (2560x1664), macOS, 12MP webcam, 20+ hours battery life",Ultrabook,Apple,"A silver MacBook Air with a slim profile, open on a white background, showing the Retina display and keyboard.",4.8,18,No,2.21,8,256,13.3-inch,Apple M1
ZB14-OLED-2025,Zenbook 14 OLED Touch,26772,"A premium ultraportable with a stunning OLED display, ideal for productivity and creative tasks, with nearly 20 hours of battery life.","Intel Core Ultra 7 155H, 16GB RAM, 1TB SSD, 14-inch OLED (2880x1800), Windows 11, 1080p webcam, 19.5 hours battery life",Ultrabook,Asus,"A sleek blue Zenbook with a vibrant OLED screen, closed on a modern desk setup.",4.7,7,Yes,1.74,8,512,14-inch,Intel i5
XPS13-2025,XPS 13,58590,"A compact, high-performance Windows ultrabook with a near-bezel-less display, perfect for work on the go.","Intel Core Ultra 9 185H, 16GB RAM, 512GB SSD, 13.4-inch 3K OLED (2880x1800), Windows 11, 1080p webcam, 15 hours battery life",Ultrabook,Dell,"A silver XPS 13 with a thin bezel display, open on a minimalist table.",4.6,14,No,2.96,8,128,15.6-inch,Intel i5
MSI004,MSI Model 4,87315,"MSI laptop with AMD Ryzen 5, 8GB, 512GB SSD, 17-inch FHD, and up to 6 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 6 hrs",Gaming,MSI,Image of MSI Model 4 on a desk setup.,4.4,11,Yes,2.8,6,256,14-inch,Intel i5
DEL005,Dell Model 5,41966,"Dell laptop with AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, and up to 8 hours battery life.","AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Ultrabook,Dell,Image of Dell Model 5 on a desk setup.,3.6,8,No,3.49,12,512,15.6-inch,Intel i7
ACE006,Acer Model 6,54068,"Acer laptop with AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, and up to 11 hours battery life.","AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 11 hrs",Ultrabook,Acer,Image of Acer Model 6 on a desk setup.,3.9,10,Yes,2.09,4,128,14-inch,Intel i3
LG007,LG Model 7,41222,"LG laptop with AMD Ryzen 7, 16GB, 1TB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 7, 16GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Ultrabook,LG,Image of LG Model 7 on a desk setup.,4.2,13,Yes,2.01,10,128,14-inch,Intel i5
LG008,LG Model 8,31643,"LG laptop with AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 32GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Ultrabook,LG,Image of LG Model 8 on a desk setup.,4.3,6,No,1.76,4,256,14-inch,Intel i5
DEL009,Dell Model 9,28739,"Dell laptop with Intel Core i3, 32GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i3, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Ultrabook,Dell,Image of Dell Model 9 on a desk setup.,4.5,10,No,1.92,12,128,14-inch,Intel i5
LG010,LG Model 10,76870,"LG laptop with Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, and up to 12 hours battery life.","Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 12 hrs",Gaming,LG,Image of LG Model 10 on a desk setup.,4.0,14,No,3.04,10,128,15.6-inch,Intel i5
MIC011,Microsoft Model 11,21107,"Microsoft laptop with Intel Core i3, 16GB, 1TB SSD, 16-inch QHD, and up to 6 hours battery life.","Intel Core i3, 16GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 6 hrs",Convertible,Microsoft,Image of Microsoft Model 11 on a desk setup.,4.9,14,Yes,2.53,12,512,15.6-inch,Intel i3
MSI012,MSI Model 12,32278,"MSI laptop with AMD Ryzen 5, 8GB, 1TB SSD, 16-inch QHD, and up to 7 hours battery life.","AMD Ryzen 5, 8GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 7 hrs",Workstation,MSI,Image of MSI Model 12 on a desk setup.,4.5,11,No,1.41,8,256,14-inch,Intel i7
MSI013,MSI Model 13,73201,"MSI laptop with AMD Ryzen 7, 32GB, 256GB SSD, 16-inch QHD, and up to 8 hours battery life.","AMD Ryzen 7, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Convertible,MSI,Image of MSI Model 13 on a desk setup.,4.5,8,Yes,2.04,10,512,15.6-inch,Intel i5
ACE014,Acer Model 14,92635,"Acer laptop with Intel Core i3, 8GB, 256GB SSD, 13.3-inch FHD, and up to 10 hours battery life.","Intel Core i3, 8GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 10 hrs",Student,Acer,Image of Acer Model 14 on a desk setup.,3.7,7,Yes,2.01,8,128,15.6-inch,Intel i5
LEN015,Lenovo Model 15,23647,"Lenovo laptop with Intel Core i5, 32GB, 1TB SSD, 15.6-inch FHD, and up to 10 hours battery life.","Intel Core i5, 32GB, 1TB SSD, 15.6-inch FHD, Windows 11, battery life 10 hrs",Student,Lenovo,Image of Lenovo Model 15 on a desk setup.,4.9,11,No,3.5,4,512,14-inch,Intel i7
MIC016,Microsoft Model 16,20124,"Microsoft laptop with AMD Ryzen 5, 8GB, 1TB SSD, 16-inch QHD, and up to 10 hours battery life.","AMD Ryzen 5, 8GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 10 hrs",Student,Microsoft,Image of Microsoft Model 16 on a desk setup.,4.3,11,No,3.55,4,256,15.6-inch,Intel i3
LEN017,Lenovo Model 17,35197,"Lenovo laptop with AMD Ryzen 5, 16GB, 1TB SSD, 15.6-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 16GB, 1TB SSD, 15.6-inch FHD, Windows 11, battery life 7 hrs",Convertible,Lenovo,Image of Lenovo Model 17 on a desk setup.,3.9,6,Yes,1.69,10,512,15.6-inch,Intel i3
SAM018,Samsung Model 18,50684,"Samsung laptop with Intel Core i5, 8GB, 256GB SSD, 13.3-inch FHD, and up to 8 hours battery life.","Intel Core i5, 8GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 8 hrs",Gaming,Samsung,Image of Samsung Model 18 on a desk setup.,4.0,9,Yes,4.49,10,256,14-inch,Intel i3
MSI019,MSI Model 19,36957,"MSI laptop with Intel Core i3, 16GB, 256GB SSD, 16-inch QHD, and up to 12 hours battery life.","Intel Core i3, 16GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 12 hrs",Workstation,MSI,Image of MSI Model 19 on a desk setup.,4.6,8,No,2.08,12,512,15.6-inch,Intel i3
ASU020,Asus Model 20,63735,"Asus laptop with AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, and up to 9 hours battery life.","AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 9 hrs",Convertible,Asus,Image of Asus Model 20 on a desk setup.,4.4,5,No,4.42,12,256,15.6-inch,Intel i3
HP021,HP Model 21,60607,"HP laptop with Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, and up to 8 hours battery life.","Intel Core i3, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Gaming,HP,Image of HP Model 21 on a desk setup.,4.3,11,No,2.56,8,512,15.6-inch,Intel i7
MSI022,MSI Model 22,85295,"MSI laptop with AMD Ryzen 5, 16GB, 512GB SSD, 17-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 16GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 7 hrs",Convertible,MSI,Image of MSI Model 22 on a desk setup.,4.6,9,Yes,1.31,10,256,14-inch,Intel i3
LEN023,Lenovo Model 23,52554,"Lenovo laptop with Intel Core i5, 32GB, 512GB SSD, 14-inch FHD, and up to 10 hours battery life.","Intel Core i5, 32GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 10 hrs",Convertible,Lenovo,Image of Lenovo Model 23 on a desk setup.,4.9,5,Yes,2.34,4,256,14-inch,Intel i7
ASU024,Asus Model 24,97919,"Asus laptop with AMD Ryzen 7, 16GB, 512GB SSD, 16-inch QHD, and up to 8 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 8 hrs",Student,Asus,Image of Asus Model 24 on a desk setup.,3.7,8,Yes,3.29,12,256,14-inch,Intel i7
LEN025,Lenovo Model 25,82201,"Lenovo laptop with Intel Core i7, 32GB, 256GB SSD, 15.6-inch FHD, and up to 11 hours battery life.","Intel Core i7, 32GB, 256GB SSD, 15.6-inch FHD, Windows 11, battery life 11 hrs",Business,Lenovo,Image of Lenovo Model 25 on a desk setup.,4.2,4,Yes,3.45,12,256,15.6-inch,Intel i5
ACE026,Acer Model 26,24162,"Acer laptop with AMD Ryzen 7, 32GB, 1TB SSD, 17-inch FHD, and up to 12 hours battery life.","AMD Ryzen 7, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 12 hrs",Workstation,Acer,Image of Acer Model 26 on a desk setup.,4.1,13,Yes,2.95,4,256,15.6-inch,Intel i7
APP027,Apple Model 27,51319,"Apple laptop with Intel Core i5, 16GB, 256GB SSD, 17-inch FHD, and up to 11 hours battery life.","Intel Core i5, 16GB, 256GB SSD, 17-inch FHD, Windows 11, battery life 11 hrs",Business,Apple,Image of Apple Model 27 on a desk setup.,4.7,18,No,2.68,8,256,13.3-inch,Apple M1
MSI028,MSI Model 28,84885,"MSI laptop with AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 16GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Ultrabook,MSI,Image of MSI Model 28 on a desk setup.,4.1,12,No,3.02,8,128,15.6-inch,Intel i3
MIC029,Microsoft Model 29,80700,"Microsoft laptop with AMD Ryzen 5, 16GB, 256GB SSD, 13.3-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 16GB, 256GB SSD, 13.3-inch FHD, Windows 11, battery life 7 hrs",Business,Microsoft,Image of Microsoft Model 29 on a desk setup.,4.0,4,Yes,3.16,10,512,14-inch,Intel i7
LEN030,Lenovo Model 30,84935,"Lenovo laptop with AMD Ryzen 5, 8GB, 256GB SSD, 15.6-inch FHD, and up to 6 hours battery life.","AMD Ryzen 5, 8GB, 256GB SSD, 15.6-inch FHD, Windows 11, battery life 6 hrs",Business,Lenovo,Image of Lenovo Model 30 on a desk setup.,4.6,14,Yes,1.47,4,256,14-inch,Intel i3
DEL031,Dell Model 31,51621,"Dell laptop with Intel Core i3, 32GB, 512GB SSD, 15.6-inch FHD, and up to 12 hours battery life.","Intel Core i3, 32GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 12 hrs",Business,Dell,Image of Dell Model 31 on a desk setup.,3.8,14,Yes,2.42,10,128,14-inch,Intel i7
ASU032,Asus Model 32,79802,"Asus laptop with AMD Ryzen 7, 16GB, 512GB SSD, 13.3-inch FHD, and up to 12 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 13.3-inch FHD, Windows 11, battery life 12 hrs",Workstation,Asus,Image of Asus Model 32 on a desk setup.,3.7,13,No,2.0,12,128,15.6-inch,Intel i5
MSI033,MSI Model 33,61943,"MSI laptop with AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, and up to 6 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 6 hrs",Convertible,MSI,Image of MSI Model 33 on a desk setup.,5.0,6,Yes,3.85,12,512,15.6-inch,Intel i7
MSI034,MSI Model 34,32162,"MSI laptop with AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 8 hrs",Gaming,MSI,Image of MSI Model 34 on a desk setup.,4.6,10,Yes,2.75,4,512,14-inch,Intel i3
DEL035,Dell Model 35,67809,"Dell laptop with AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, and up to 11 hours battery life.","AMD Ryzen 7, 8GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 11 hrs",Business,Dell,Image of Dell Model 35 on a desk setup.,3.5,7,No,4.45,8,512,15.6-inch,Intel i5
MIC036,Microsoft Model 36,51324,"Microsoft laptop with Intel Core i5, 32GB, 1TB SSD, 17-inch FHD, and up to 9 hours battery life.","Intel Core i5, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 9 hrs",Ultrabook,Microsoft,Image of Microsoft Model 36 on a desk setup.,4.3,12,Yes,2.52,6,512,15.6-inch,Intel i3
LEN037,Lenovo Model 37,97067,"Lenovo laptop with Intel Core i3, 8GB, 1TB SSD, 13.3-inch FHD, and up to 11 hours battery life.","Intel Core i3, 8GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 11 hrs",Workstation,Lenovo,Image of Lenovo Model 37 on a desk setup.,3.6,6,Yes,3.89,4,512,14-inch,Intel i7
DEL038,Dell Model 38,86804,"Dell laptop with AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, and up to 9 hours battery life.","AMD Ryzen 7, 16GB, 512GB SSD, 14-inch FHD, Windows 11, battery life 9 hrs",Convertible,Dell,Image of Dell Model 38 on a desk setup.,4.2,8,Yes,3.83,6,128,15.6-inch,Intel i3
LG039,LG Model 39,86544,"LG laptop with Intel Core i7, 32GB, 256GB SSD, 16-inch QHD, and up to 10 hours battery life.","Intel Core i7, 32GB, 256GB SSD, 16-inch QHD, Windows 11, battery life 10 hrs",Workstation,LG,Image of LG Model 39 on a desk setup.,4.3,6,Yes,1.7,6,256,15.6-inch,Intel i7
HP040,HP Model 40,45586,"HP laptop with Intel Core i7, 8GB, 512GB SSD, 17-inch FHD, and up to 10 hours battery life.","Intel Core i7, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 10 hrs",Workstation,HP,Image of HP Model 40 on a desk setup.,5.0,10,Yes,2.88,8,256,15.6-inch,Intel i3
LG041,LG Model 41,98259,"LG laptop with Intel Core i7, 16GB, 512GB SSD, 15.6-inch FHD, and up to 10 hours battery life.","Intel Core i7, 16GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 10 hrs",Ultrabook,LG,Image of LG Model 41 on a desk setup.,4.0,8,No,3.5,6,128,14-inch,Intel i7
LEN042,Lenovo Model 42,85409,"Lenovo laptop with Intel Core i5, 8GB, 1TB SSD, 13.3-inch FHD, and up to 6 hours battery life.","Intel Core i5, 8GB, 1TB SSD, 13.3-inch FHD, Windows 11, battery life 6 hrs",Convertible,Lenovo,Image of Lenovo Model 42 on a desk setup.,4.7,12,No,4.03,6,128,14-inch,Intel i5
SAM043,Samsung Model 43,47351,"Samsung laptop with Intel Core i3, 32GB, 512GB SSD, 16-inch QHD, and up to 9 hours battery life.","Intel Core i3, 32GB, 512GB SSD, 16-inch QHD, Windows 11, battery life 9 hrs",Ultrabook,Samsung,Image of Samsung Model 43 on a desk setup.,4.4,10,No,2.28,8,256,14-inch,Intel i5
MIC044,Microsoft Model 44,77244,"Microsoft laptop with Intel Core i5, 8GB, 512GB SSD, 17-inch FHD, and up to 11 hours battery life.","Intel Core i5, 8GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 11 hrs",Student,Microsoft,Image of Microsoft Model 44 on a desk setup.,3.8,5,Yes,1.93,6,128,14-inch,Intel i3
SAM045,Samsung Model 45,99807,"Samsung laptop with AMD Ryzen 7, 16GB, 1TB SSD, 16-inch QHD, and up to 10 hours battery life.","AMD Ryzen 7, 16GB, 1TB SSD, 16-inch QHD, Windows 11, battery life 10 hrs",Gaming,Samsung,Image of Samsung Model 45 on a desk setup.,3.7,7,Yes,3.55,6,512,14-inch,Intel i7
ASU046,Asus Model 46,18912,"Asus laptop with AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, and up to 8 hours battery life.","AMD Ryzen 5, 8GB, 512GB SSD, 15.6-inch FHD, Windows 11, battery life 8 hrs",Workstation,Asus,Image of Asus Model 46 on a desk setup.,4.2,12,Yes,3.87,6,256,15.6-inch,Intel i7
DEL047,Dell Model 47,50946,"Dell laptop with AMD Ryzen 5, 32GB, 1TB SSD, 14-inch FHD, and up to 7 hours battery life.","AMD Ryzen 5, 32GB, 1TB SSD, 14-inch FHD, Windows 11, battery life 7 hrs",Convertible,Dell,Image of Dell Model 47 on a desk setup.,3.9,5,No,2.35,4,512,15.6-inch,Intel i7
LEN048,Lenovo Model 48,17269,"Lenovo laptop with Intel Core i3, 16GB, 512GB SSD, 17-inch FHD, and up to 8 hours battery life.","Intel Core i3, 16GB, 512GB SSD, 17-inch FHD, Windows 11, battery life 8 hrs",Ultrabook,Lenovo,Image of Lenovo Model 48 on a desk setup.,4.2,13,Yes,1.52,4,512,14-inch,Intel i7
LEN049,Lenovo Model 49,20755,"Lenovo laptop with Intel Core i3, 32GB, 1TB SSD, 17-inch FHD, and up to 6 hours battery life.","Intel Core i3, 32GB, 1TB SSD, 17-inch FHD, Windows 11, battery life 6 hrs",Convertible,Lenovo,Image of Lenovo Model 49 on a desk setup.,3.6,12,Yes,4.3,4,128,14-inch,Intel i7
